label,metric,step,value,rolling_value
Tent+SAFER-A (0%),batch_acc,50,82.8125,83.8125
Tent+SAFER-A (0%),batch_acc,51,76.5625,83.4375
Tent+SAFER-A (0%),batch_acc,52,87.5,83.8125
Tent+SAFER-A (0%),batch_acc,53,84.375,84.25
Tent+SAFER-A (0%),batch_acc,54,73.4375,83.5625
Tent+SAFER-A (0%),batch_acc,55,82.8125,83.25
Tent+SAFER-A (0%),batch_acc,56,81.25,83.1875
Tent+SAFER-A (0%),batch_acc,57,87.5,83.1875
Tent+SAFER-A (0%),batch_acc,58,81.25,83.125
Tent+SAFER-A (0%),batch_acc,59,82.8125,82.9375
Tent+SAFER-A (0%),batch_acc,60,81.25,82.5
Tent+SAFER-A (0%),batch_acc,61,85.9375,82.9375
Tent+SAFER-A (0%),batch_acc,62,89.0625,83.4375
Tent+SAFER-A (0%),batch_acc,63,84.375,83.8125
Tent+SAFER-A (0%),batch_acc,64,92.1875,84.0
Tent+SAFER-A (0%),batch_acc,65,81.25,83.9375
Tent+SAFER-A (0%),batch_acc,66,78.125,84.0
Tent+SAFER-A (0%),batch_acc,67,82.8125,83.75
Tent+SAFER-A (0%),batch_acc,68,81.25,83.6875
Tent+SAFER-A (0%),batch_acc,69,84.375,83.6875
Tent+SAFER-A (0%),batch_acc,70,76.5625,83.375
Tent+SAFER-A (0%),batch_acc,71,82.8125,83.0
Tent+SAFER-A (0%),batch_acc,72,85.9375,83.375
Tent+SAFER-A (0%),batch_acc,73,84.375,83.25
Tent+SAFER-A (0%),batch_acc,74,87.5,83.125
Tent+SAFER-A (0%),batch_acc,75,87.5,83.3125
Tent+SAFER-A (0%),batch_acc,76,78.125,83.375
Tent+SAFER-A (0%),batch_acc,77,78.125,83.0
Tent+SAFER-A (0%),batch_acc,78,89.0625,83.1875
Tent+SAFER-A (0%),batch_acc,79,84.375,83.625
Tent+SAFER-A (0%),batch_acc,80,87.5,83.8125
Tent+SAFER-A (0%),batch_acc,81,79.6875,83.75
Tent+SAFER-A (0%),batch_acc,82,85.9375,83.6875
Tent+SAFER-A (0%),batch_acc,83,85.9375,83.875
Tent+SAFER-A (0%),batch_acc,84,92.1875,84.25
Tent+SAFER-A (0%),batch_acc,85,85.9375,84.4375
Tent+SAFER-A (0%),batch_acc,86,82.8125,84.3125
Tent+SAFER-A (0%),batch_acc,87,82.8125,84.0625
Tent+SAFER-A (0%),batch_acc,88,85.9375,84.125
Tent+SAFER-A (0%),batch_acc,89,89.0625,84.0
Tent+SAFER-A (0%),batch_acc,90,85.9375,84.1875
Tent+SAFER-A (0%),batch_acc,91,82.8125,84.375
Tent+SAFER-A (0%),batch_acc,92,95.3125,84.875
Tent+SAFER-A (0%),batch_acc,93,85.9375,85.0625
Tent+SAFER-A (0%),batch_acc,94,87.5,85.1875
Tent+SAFER-A (0%),batch_acc,95,84.375,85.5
Tent+SAFER-A (100%),batch_acc,0,68.75,68.75
Tent+SAFER-A (100%),batch_acc,1,67.1875,67.96875
Tent+SAFER-A (100%),batch_acc,2,68.75,68.22916666666667
Tent+SAFER-A (100%),batch_acc,3,75.0,69.921875
Tent+SAFER-A (100%),batch_acc,4,70.3125,70.0
Tent+SAFER-A (100%),batch_acc,5,73.4375,70.57291666666667
